file,issue,severity,lines,count
tests/test_stream_subscription_fix.py,empty_except,medium,L111,1
tests/test_trade_execution_smoke.py,empty_except,medium,L39,1
ai_trading/core/bot_engine.py,subprocess_unsafe,medium,L1725,1
scripts/performance_monitor.py,subprocess_unsafe,medium,"L253, L341, L354",3
scripts/process_manager.py,subprocess_unsafe,medium,"L45, L286, L300, L340",4
scripts/retrain.py,subprocess_unsafe,medium,L159,1
scripts/system_diagnostic.py,subprocess_unsafe,medium,L94,1
scripts/validate_critical_features.py,subprocess_unsafe,medium,L17,1
scripts/validate_improvements.py,subprocess_unsafe,medium,L107,1
tests/test_cli_smoke.py,subprocess_unsafe,medium,L8,1
tests/test_nameerror_integration.py,subprocess_unsafe,medium,L82,1
tests/test_systemd_startup.py,subprocess_unsafe,medium,"L72, L134, L157, L198, L236",5
ai_trading/core/bot_engine.py,time_sleep_in_async,medium,L3863,1
ai_trading/integrations/rate_limit.py,time_sleep_in_async,medium,L197,1
